date,state,vaccine_alloc_1_pfizer,vaccine_alloc_2_pfizer,vaccine_alloc_1_janssen,vaccine_alloc_1_moderna,vaccine_alloc_2_moderna,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
2020-05-01,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28764.0,28764.0,0.0,1064.0,-1560.0,2339.0,2339.0,0.0,82.0,-562.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2579.0,2579.0,0.0,69.0,0.0,104.0,104.0,0.0,1.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15668.0,14078.0,1590.0,486.0,45.0,820.0,693.0,127.0,43.0,2.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8962.0,7249.0,868.0,341.0,0.0,279.0,350.0,63.5,13.0,0.0,05/02/2020 03:47:19 PM,Not agree,0
2020-05-01,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,420.0,146.0,7.0,2.0,7.0,7.0,0.0,0.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4449.0,4449.0,0.0,211.0,0.0,130.0,10.5,0.0,1.0,0.0,05/02/2020 03:47:19 PM,Agree,0
2020-05-01,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5227.0,5401.5,0.0,220.0,-9.0,254.0,14.0,0.0,2.0,-9.0,05/02/2020 03:47:19 PM,0,0
2020-05-01,South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6354.0,6354.0,0.0,158.0,0.0,274.0,17.5,0.0,14.0,0.0,03/17/2021 01:36:55 PM,Agree,Not agree
2020-05-01,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2525.0,10223.333333333334,260.3333333333333,76.0,0.0,21.0,21.0,0.0,4.0,0.0,05/02/2020 03:47:19 PM,0,Agree
2020-05-01,New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.0,14092.666666666668,520.6666666666666,164.0,0.0,81.0,471.5,40.0,9.0,0.0,05/02/2020 03:47:19 PM,Not agree,Not agree
2020-05-01,Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18743.0,17962.0,781.0,716.0,39.0,1002.0,922.0,80.0,27.0,3.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,14594.2,624.8,0.0,0.0,16.0,748.6,64.0,0.0,0.0,05/01/2020 12:00:00 AM,Not agree,Not agree
2020-05-01,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4658.0,11226.4,468.6,335.0,0.0,231.0,575.2,48.0,7.0,0.0,05/02/2020 03:47:19 PM,0,0
2020-05-01,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3513.0,7858.5999999999985,312.40000000000003,102.0,0.0,131.0,401.79999999999995,32.0,8.0,0.0,05/02/2020 03:47:19 PM,0,Not agree
2020-05-01,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14637.0,4490.799999999999,156.20000000000005,310.0,0.0,824.0,228.39999999999998,16.0,10.0,0.0,05/02/2020 03:47:19 PM,0,0
2020-05-01,Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1123.0,1123.0,0.0,0.0,-35.0,55.0,55.0,0.0,0.0,0.0,05/02/2020 03:47:19 PM,Agree,Agree
2020-05-01,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50442.0,2340.8,0.0,1525.0,0.0,2073.0,213.0,0.0,91.0,0.0,05/02/2020 03:47:19 PM,Not agree,Not agree
2020-05-01,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5730.0,3558.6,0.0,594.0,0.0,371.0,371.0,0.0,28.0,0.0,05/02/2020 03:47:19 PM,0,Agree
2020-05-01,Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23472.0,4776.4,0.0,0.0,0.0,1192.0,1098.0,94.0,0.0,0.0,05/02/2020 03:47:19 PM,0,Agree
